ORDERID;NATURE;OPERATIONTYPE;AMOUNT;CURRENCY;"BILLINGFEES INCL. VAT";DATE;CHARGEBACKDATE;"TRANSFER REFERENCE";EXTRADATA;3DSECUREFEE
1676501~1;payment;payment;55.94;EUR;0.26;"2023-02-10 00:06:13";;20230213.150.20134253043109506;;0.00260
1676502~1;payment;payment;16.00;EUR;0.07;"2023-02-10 00:10:57";;20230213.150.20134253043109506;;0.00260
1676504~1;payment;payment;40.49;EUR;0.19;"2023-02-10 00:12:03";;20230213.150.20134253043109506;;0.00260
1676505~1;payment;payment;55.49;EUR;0.26;"2023-02-10 00:21:01";;20230213.150.20134253043109506;;0.00260
1676507~1;payment;payment;19.74;EUR;0.10;"2023-02-10 01:12:24";;20230213.150.20134253043109506;;0.00260
1676508~1;payment;payment;61.80;EUR;0.29;"2023-02-10 01:12:25";;20230213.150.20134253043109506;;0.00260
1676511~1;payment;payment;125.79;EUR;0.59;"2023-02-10 01:27:47";;20230213.150.20134253043109506;;0.00260
1676523~1;payment;payment;53.30;EUR;0.25;"2023-02-10 06:04:56";;20230213.150.20134253043109506;;0.00260
1676525~1;payment;payment;142.35;EUR;0.67;"2023-02-10 06:25:17";;20230213.150.20134253043109506;;0.00260
1676521~1;payment;payment;27.90;EUR;0.13;"2023-02-10 06:27:25";;20230213.150.20134253043109506;;0.00260
1676529~1;payment;payment;41.45;EUR;0.19;"2023-02-10 06:50:58";;20230213.150.20134253043109506;;0.00260
1676531~1;payment;payment;123.39;EUR;0.58;"2023-02-10 06:56:55";;20230213.150.20134253043109506;;0.00260
1676532~1;payment;payment;67.49;EUR;0.31;"2023-02-10 07:02:20";;20230213.150.20134253043109506;;0.00260
1676534~1;payment;payment;89.18;EUR;0.42;"2023-02-10 07:04:32";;20230213.150.20134253043109506;;0.00260
1676535~1;payment;payment;24.50;EUR;0.12;"2023-02-10 07:08:48";;20230213.150.20134253043109506;;0.00260
1676539~1;payment;payment;26.90;EUR;0.12;"2023-02-10 07:32:47";;20230213.150.20134253043109506;;0.00260
1676544~1;payment;payment;27.60;EUR;0.13;"2023-02-10 08:06:45";;20230213.150.20134253043109506;;0.00260
1676550~1;payment;payment;4.06;EUR;0.02;"2023-02-10 08:27:57";;20230213.150.20134253043109506;;0.02000
1676551~1;payment;payment;37.00;EUR;0.17;"2023-02-10 08:32:09";;20230213.150.20134253043109506;;0.00260
1676552~1;payment;payment;31.27;EUR;0.30;"2023-02-10 08:34:43";;20230213.150.20134253043109506;;0.02000
1676553~1;payment;payment;87.14;EUR;0.41;"2023-02-10 08:36:29";;20230213.150.20134253043109506;;0.00260
1676560~1;payment;payment;100.99;EUR;0.47;"2023-02-10 08:55:28";;20230213.150.20134253043109506;;0.00260
1676562~1;payment;payment;63.20;EUR;0.56;"2023-02-10 09:00:22";;20230213.150.20134253043109506;;0.02000
1676566~1;payment;payment;125.12;EUR;0.59;"2023-02-10 09:04:22";;20230213.150.20134253043109506;;0.00260
1676565~1;payment;payment;172.98;EUR;1.46;"2023-02-10 09:04:26";;20230213.150.20134253043109506;;0.04000
1676561~1;payment;payment;33.50;EUR;0.16;"2023-02-10 09:05:06";;20230213.150.20134253043109506;;0.00260
1676569~1;payment;payment;25.89;EUR;0.12;"2023-02-10 09:08:21";;20230213.150.20134253043109506;;0.00260
1676573~1;payment;payment;57.39;EUR;0.00;"2023-02-10 09:11:03";;;;0.04000
1676574~1;payment;payment;91.20;EUR;0.43;"2023-02-10 09:12:08";;20230213.150.20134253043109506;;0.00260
1676576~1;payment;payment;45.49;EUR;0.22;"2023-02-10 09:16:08";;20230213.150.20134253043109506;;0.00260
1676577~1;payment;payment;41.20;EUR;0.19;"2023-02-10 09:16:29";;20230213.150.20134253043109506;;0.00260
1676575~1;payment;payment;11.85;EUR;0.06;"2023-02-10 09:16:50";;20230213.150.20134253043109506;;0.00260
1676573~1;payment;payment;57.39;EUR;0.26;"2023-02-10 09:17:08";;20230213.150.20134253043109506;;0.00260
1676581~1;payment;payment;25.99;EUR;0.12;"2023-02-10 09:23:38";;20230213.150.20134253043109506;;0.00260
1676580~1;payment;payment;125.30;EUR;0.59;"2023-02-10 09:27:05";;20230213.150.20134253043109506;;0.00260
1676583~1;payment;payment;23.10;EUR;0.11;"2023-02-10 09:28:10";;20230213.150.20134253043109506;;0.00260
1676325~1;payment;payment;20.29;EUR;0.10;"2023-02-10 09:37:13";;20230213.150.20134253043109506;;0.00260
1676588~1;payment;payment;18.00;EUR;0.08;"2023-02-10 09:41:20";;20230213.150.20134253043109506;;0.00260
1676593~1;payment;payment;68.50;EUR;0.32;"2023-02-10 09:46:02";;20230213.150.20134253043109506;;0.00260
1676595~1;payment;payment;34.50;EUR;0.16;"2023-02-10 09:48:50";;20230213.150.20134253043109506;;0.00260
1676594~1;payment;payment;28.74;EUR;0.13;"2023-02-10 09:48:59";;20230213.150.20134253043109506;;0.00260
1676596~1;payment;payment;53.99;EUR;0.25;"2023-02-10 09:50:36";;20230213.150.20134253043109506;;0.00260
1676599~1;payment;payment;95.40;EUR;0.44;"2023-02-10 10:01:03";;20230213.150.20134253043109506;;0.00260
